objectid,servicetype,latitude,longitude,address,datecreated,datemodified,status,description,estimatedresolution
1001,pothole,32.3617,-86.2792,"123 Main St, Montgomery, AL",2026-03-09T11:50:38.641358,2026-03-10T11:50:38.641369,open,Sample 311 request 1,1
1002,graffiti,32.3627,-86.2782,"124 Main St, Montgomery, AL",2026-03-08T11:50:38.641378,2026-03-09T11:50:38.641381,in_progress,Sample 311 request 2,2
1003,trash,32.3637,-86.27720000000001,"125 Main St, Montgomery, AL",2026-03-07T11:50:38.641386,2026-03-08T11:50:38.641388,closed,Sample 311 request 3,3
1004,flooding,32.3647,-86.2762,"126 Main St, Montgomery, AL",2026-03-06T11:50:38.641392,2026-03-07T11:50:38.641395,open,Sample 311 request 4,4
1005,overgrown_grass,32.3657,-86.2752,"127 Main St, Montgomery, AL",2026-03-05T11:50:38.641398,2026-03-06T11:50:38.641401,in_progress,Sample 311 request 5,5
1006,other,32.3667,-86.27420000000001,"128 Main St, Montgomery, AL",2026-03-04T11:50:38.641405,2026-03-05T11:50:38.641407,closed,Sample 311 request 6,6
1007,pothole,32.3677,-86.2732,"129 Main St, Montgomery, AL",2026-03-03T11:50:38.641411,2026-03-04T11:50:38.641413,open,Sample 311 request 7,7
1008,graffiti,32.3687,-86.2722,"130 Main St, Montgomery, AL",2026-03-02T11:50:38.641417,2026-03-03T11:50:38.641419,in_progress,Sample 311 request 8,1
1009,trash,32.3697,-86.27120000000001,"131 Main St, Montgomery, AL",2026-03-01T11:50:38.641423,2026-03-02T11:50:38.641425,closed,Sample 311 request 9,2
1010,flooding,32.3707,-86.2702,"132 Main St, Montgomery, AL",2026-02-28T11:50:38.641429,2026-03-01T11:50:38.641431,open,Sample 311 request 10,3
1011,overgrown_grass,32.3617,-86.2792,"133 Main St, Montgomery, AL",2026-02-27T11:50:38.641435,2026-02-28T11:50:38.641437,in_progress,Sample 311 request 11,4
1012,other,32.3627,-86.2782,"134 Main St, Montgomery, AL",2026-02-26T11:50:38.641441,2026-02-27T11:50:38.641443,closed,Sample 311 request 12,5
1013,pothole,32.3637,-86.27720000000001,"135 Main St, Montgomery, AL",2026-02-25T11:50:38.641447,2026-02-26T11:50:38.641449,open,Sample 311 request 13,6
1014,graffiti,32.3647,-86.2762,"136 Main St, Montgomery, AL",2026-02-24T11:50:38.641459,2026-02-25T11:50:38.641462,in_progress,Sample 311 request 14,7
1015,trash,32.3657,-86.2752,"137 Main St, Montgomery, AL",2026-02-23T11:50:38.641466,2026-02-24T11:50:38.641468,closed,Sample 311 request 15,1
1016,flooding,32.3667,-86.27420000000001,"138 Main St, Montgomery, AL",2026-02-22T11:50:38.641474,2026-02-23T11:50:38.641477,open,Sample 311 request 16,2
1017,overgrown_grass,32.3677,-86.2732,"139 Main St, Montgomery, AL",2026-02-21T11:50:38.641481,2026-02-22T11:50:38.641483,in_progress,Sample 311 request 17,3
1018,other,32.3687,-86.2722,"140 Main St, Montgomery, AL",2026-02-20T11:50:38.641487,2026-02-21T11:50:38.641489,closed,Sample 311 request 18,4
1019,pothole,32.3697,-86.27120000000001,"141 Main St, Montgomery, AL",2026-02-19T11:50:38.641493,2026-02-20T11:50:38.641495,open,Sample 311 request 19,5
1020,graffiti,32.3707,-86.2702,"142 Main St, Montgomery, AL",2026-02-18T11:50:38.641499,2026-02-19T11:50:38.641501,in_progress,Sample 311 request 20,6
1021,trash,32.3617,-86.2792,"143 Main St, Montgomery, AL",2026-02-17T11:50:38.641504,2026-02-18T11:50:38.641507,closed,Sample 311 request 21,7
1022,flooding,32.3627,-86.2782,"144 Main St, Montgomery, AL",2026-02-16T11:50:38.641510,2026-02-17T11:50:38.641513,open,Sample 311 request 22,1
1023,overgrown_grass,32.3637,-86.27720000000001,"145 Main St, Montgomery, AL",2026-02-15T11:50:38.641516,2026-02-16T11:50:38.641518,in_progress,Sample 311 request 23,2
1024,other,32.3647,-86.2762,"146 Main St, Montgomery, AL",2026-02-14T11:50:38.641522,2026-02-15T11:50:38.641524,closed,Sample 311 request 24,3
1025,pothole,32.3657,-86.2752,"147 Main St, Montgomery, AL",2026-02-13T11:50:38.641528,2026-02-14T11:50:38.641530,open,Sample 311 request 25,4
1026,graffiti,32.3667,-86.27420000000001,"148 Main St, Montgomery, AL",2026-02-12T11:50:38.641546,2026-02-13T11:50:38.641549,in_progress,Sample 311 request 26,5
1027,trash,32.3677,-86.2732,"149 Main St, Montgomery, AL",2026-02-11T11:50:38.641553,2026-02-12T11:50:38.641555,closed,Sample 311 request 27,6
1028,flooding,32.3687,-86.2722,"150 Main St, Montgomery, AL",2026-02-10T11:50:38.641559,2026-02-11T11:50:38.641561,open,Sample 311 request 28,7
1029,overgrown_grass,32.3697,-86.27120000000001,"151 Main St, Montgomery, AL",2026-02-09T11:50:38.641568,2026-02-10T11:50:38.641571,in_progress,Sample 311 request 29,1
1030,other,32.3707,-86.2702,"152 Main St, Montgomery, AL",2026-02-08T11:50:38.641574,2026-02-09T11:50:38.641577,closed,Sample 311 request 30,2
1031,pothole,32.3617,-86.2792,"153 Main St, Montgomery, AL",2026-03-09T11:50:38.641580,2026-03-10T11:50:38.641582,open,Sample 311 request 31,3
1032,graffiti,32.3627,-86.2782,"154 Main St, Montgomery, AL",2026-03-08T11:50:38.641586,2026-03-09T11:50:38.641589,in_progress,Sample 311 request 32,4
1033,trash,32.3637,-86.27720000000001,"155 Main St, Montgomery, AL",2026-03-07T11:50:38.641595,2026-03-08T11:50:38.641598,closed,Sample 311 request 33,5
1034,flooding,32.3647,-86.2762,"156 Main St, Montgomery, AL",2026-03-06T11:50:38.641601,2026-03-07T11:50:38.641604,open,Sample 311 request 34,6
1035,overgrown_grass,32.3657,-86.2752,"157 Main St, Montgomery, AL",2026-03-05T11:50:38.641607,2026-03-06T11:50:38.641609,in_progress,Sample 311 request 35,7
1036,other,32.3667,-86.27420000000001,"158 Main St, Montgomery, AL",2026-03-04T11:50:38.641613,2026-03-05T11:50:38.641615,closed,Sample 311 request 36,1
1037,pothole,32.3677,-86.2732,"159 Main St, Montgomery, AL",2026-03-03T11:50:38.641619,2026-03-04T11:50:38.641621,open,Sample 311 request 37,2
1038,graffiti,32.3687,-86.2722,"160 Main St, Montgomery, AL",2026-03-02T11:50:38.641625,2026-03-03T11:50:38.641627,in_progress,Sample 311 request 38,3
1039,trash,32.3697,-86.27120000000001,"161 Main St, Montgomery, AL",2026-03-01T11:50:38.641630,2026-03-02T11:50:38.641633,closed,Sample 311 request 39,4
1040,flooding,32.3707,-86.2702,"162 Main St, Montgomery, AL",2026-02-28T11:50:38.641636,2026-03-01T11:50:38.641639,open,Sample 311 request 40,5
1041,overgrown_grass,32.3617,-86.2792,"163 Main St, Montgomery, AL",2026-02-27T11:50:38.641642,2026-02-28T11:50:38.641645,in_progress,Sample 311 request 41,6
1042,other,32.3627,-86.2782,"164 Main St, Montgomery, AL",2026-02-26T11:50:38.641658,2026-02-27T11:50:38.641661,closed,Sample 311 request 42,7
1043,pothole,32.3637,-86.27720000000001,"165 Main St, Montgomery, AL",2026-02-25T11:50:38.641665,2026-02-26T11:50:38.641667,open,Sample 311 request 43,1
1044,graffiti,32.3647,-86.2762,"166 Main St, Montgomery, AL",2026-02-24T11:50:38.641670,2026-02-25T11:50:38.641673,in_progress,Sample 311 request 44,2
1045,trash,32.3657,-86.2752,"167 Main St, Montgomery, AL",2026-02-23T11:50:38.641676,2026-02-24T11:50:38.641679,closed,Sample 311 request 45,3
1046,flooding,32.3667,-86.27420000000001,"168 Main St, Montgomery, AL",2026-02-22T11:50:38.641682,2026-02-23T11:50:38.641684,open,Sample 311 request 46,4
1047,overgrown_grass,32.3677,-86.2732,"169 Main St, Montgomery, AL",2026-02-21T11:50:38.641688,2026-02-22T11:50:38.641690,in_progress,Sample 311 request 47,5
1048,other,32.3687,-86.2722,"170 Main St, Montgomery, AL",2026-02-20T11:50:38.641694,2026-02-21T11:50:38.641696,closed,Sample 311 request 48,6
1049,pothole,32.3697,-86.27120000000001,"171 Main St, Montgomery, AL",2026-02-19T11:50:38.641700,2026-02-20T11:50:38.641702,open,Sample 311 request 49,7
1050,graffiti,32.3707,-86.2702,"172 Main St, Montgomery, AL",2026-02-18T11:50:38.641705,2026-02-19T11:50:38.641708,in_progress,Sample 311 request 50,1
1051,trash,32.3617,-86.2792,"173 Main St, Montgomery, AL",2026-02-17T11:50:38.641711,2026-02-18T11:50:38.641714,closed,Sample 311 request 51,2
1052,flooding,32.3627,-86.2782,"174 Main St, Montgomery, AL",2026-02-16T11:50:38.641717,2026-02-17T11:50:38.641719,open,Sample 311 request 52,3
1053,overgrown_grass,32.3637,-86.27720000000001,"175 Main St, Montgomery, AL",2026-02-15T11:50:38.641726,2026-02-16T11:50:38.641728,in_progress,Sample 311 request 53,4
1054,other,32.3647,-86.2762,"176 Main St, Montgomery, AL",2026-02-14T11:50:38.641732,2026-02-15T11:50:38.641734,closed,Sample 311 request 54,5
1055,pothole,32.3657,-86.2752,"177 Main St, Montgomery, AL",2026-02-13T11:50:38.641741,2026-02-14T11:50:38.641743,open,Sample 311 request 55,6
1056,graffiti,32.3667,-86.27420000000001,"178 Main St, Montgomery, AL",2026-02-12T11:50:38.641747,2026-02-13T11:50:38.641749,in_progress,Sample 311 request 56,7
1057,trash,32.3677,-86.2732,"179 Main St, Montgomery, AL",2026-02-11T11:50:38.641753,2026-02-12T11:50:38.641755,closed,Sample 311 request 57,1
